index,age_end,age_start,age_weights,area,data_type,effective_sample_size,lower_ci,sex,standard_error,upper_ci,value,year_end,year_start,z_bias
0,65,18,,ARG,p,12891.0,,total,-99.0,,0.0071,1992,1991,1
1,89,3,,ARG,p,196.0,,total,-99.0,,0.0,1993,1993,1
2,24,20,,AUS,p,1348.0,,total,-99.0,,0.053,1998,1996,1
3,39,30,,AUS,p,1452.0,,total,-99.0,,0.011,1998,1996,1
4,49,15,,AUS,p,1537.0,,female,-99.0,,0.0111,1995,1995,1
5,45,13,,BDI,p,129.0,,total,-99.0,,0.2713,1993,1992,1
6,65,0,,BEL,p,3193.0,,total,-99.0,,0.008,1994,1993,1
7,65,0,,BEL,p,241.0,,total,-99.0,,0.021,1994,1993,1
8,65,0,,BEL,p,1803.0,,total,-99.0,,0.0011,2003,2003,0
9,34,0,,BEL,p,1398.0,,total,-99.0,,0.0057,1995,1994,1
10,19,10,,BGR,p,103.0,,male,-99.0,,0.0097,2000,1999,0
11,19,10,,BGR,p,300.0,,female,-99.0,,0.0167,2000,1999,0
12,29,20,,BGR,p,70.0,,male,-99.0,,0.0,2000,1999,0
13,29,20,,BGR,p,215.0,,female,-99.0,,0.0,2000,1999,0
14,39,30,,BGR,p,123.0,,male,-99.0,,0.0,2000,1999,0
15,39,30,,BGR,p,268.0,,female,-99.0,,0.0075,2000,1999,0
16,49,40,,BGR,p,165.0,,male,-99.0,,0.0182,2000,1999,0
17,49,40,,BGR,p,431.0,,female,-99.0,,0.007,2000,1999,0
18,59,50,,BGR,p,139.0,,male,-99.0,,0.0288,2000,1999,0
19,59,50,,BGR,p,305.0,,female,-99.0,,0.0098,2000,1999,0
20,69,60,,BGR,p,42.0,,male,-99.0,,0.0238,2000,1999,0
21,69,60,,BGR,p,47.0,,female,-99.0,,0.0426,2000,1999,0
22,65,1,,BRA,p,312.0,,total,-99.0,,0.0,1999,1999,0
23,35,18,,BRA,p,9857.0,,total,-99.0,,0.0087,1993,1992,1
24,10,0,,BRA,p,22.0,,total,-99.0,,0.0,1997,1997,0
25,20,11,,BRA,p,72.0,,total,-99.0,,0.0139,1997,1997,0
26,30,21,,BRA,p,89.0,,total,-99.0,,0.0449,1997,1997,0
27,40,31,,BRA,p,55.0,,total,-99.0,,0.0,1997,1997,0
28,50,41,,BRA,p,51.0,,total,-99.0,,0.0,1997,1997,0
29,80,51,,BRA,p,60.0,,total,-99.0,,0.0167,1997,1997,0
30,20,11,,BRA,p,3333.0,,female,-99.0,,0.0003,2003,2002,1
31,30,21,,BRA,p,4071.0,,female,-99.0,,0.001,2003,2002,1
32,40,31,,BRA,p,1011.0,,female,-99.0,,0.002,2003,2002,1
33,51,41,,BRA,p,59.0,,female,-99.0,,0.0,2003,2002,1
34,65,18,,BRA,p,1600.0,,total,-99.0,,0.0044,2004,2004,1
35,20,12,,BRA,p,247.0,,female,-99.0,,0.004,1998,1998,1
36,30,21,,BRA,p,303.0,,female,-99.0,,0.0066,1998,1998,1
37,50,31,,BRA,p,153.0,,female,-99.0,,0.0065,1998,1998,1
38,49,13,,BRA,p,6995.0,,female,-99.0,,0.008,1998,1994,1
39,20,12,,BRA,p,383.0,,female,-99.0,,0.002,1992,1990,1
40,58,21,,BRA,p,890.0,,female,-99.0,,0.012,1992,1990,1
41,9,0,,BRA,p,280.0,,total,-99.0,,0.0,1993,1990,1
42,12,6,,BRA,p,607.0,,total,-99.0,,0.0016,1993,1990,1
43,62,18,,BRA,p,345.0,,total,-99.0,,0.0986,2000,1998,1
44,33,0,,BRA,p,874.0,,total,-99.0,,0.004,1998,1998,1
45,99,34,,BRA,p,434.0,,total,-99.0,,0.039,1998,1998,1
46,60,24,,BTN,p,611.0,,total,-99.0,,0.0131,1996,1995,0
47,58,15,,CAF,p,157.0,,total,-99.0,,0.051,1995,1995,1
