posteriormean,time_to_watersource,electricity,radio,tv,refrigerator,bicycle,motorcycle,car,rooms_sleeping,land_phone,share_toilet,share_toilet_numhh,kitchen_separate,cell_phone,watch,animal_cart,motor_boat,animal,bank_account,generator,computer,tractor,water_source,drinkwater_source1,drinkwater_source2,drinkwater_source3,drinkwater_source4,drinkwater_source5,drinkwater_source6,drinkwater_source7,drinkwater_source8,drinkwater_source9,drinkwater_source10,drinkwater_source11,drinkwater_source12,drinkwater_source13,drinkwater_source14,toilet_type1,toilet_type2,toilet_type3,toilet_type4,toilet_type5,toilet_type6,toilet_type7,toilet_type8,toilet_type9,toilet_type10,toilet_type11,floor_material1,floor_material2,floor_material3,floor_material4,floor_material5,floor_material6,floor_material7,floor_material8,floor_material9,wall_material1,wall_material2,wall_material3,wall_material4,wall_material5,wall_material6,wall_material7,wall_material8,wall_material9,wall_material10,wall_material11,wall_material12,roof_material1,roof_material2,roof_material3,roof_material4,roof_material5,roof_material6,roof_material7,roof_material8,roof_material9,roof_material10,cookfuel_type1,cookfuel_type2,cookfuel_type3,cookfuel_type4,cookfuel_type5,cookfuel_type6,cookfuel_type7,cookfuel_type8,cookfuel_type9,cookfuel_type10,cookfuel_type11,cookfuel_type12,cookfuel_type13,watersource_location1,watersource_location2,watersource_location3,cooking_location1,cooking_location2,cooking_location3,cooking_location4
.9474285,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.523223,0,1,0,1,1,1,0,1,3,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.073207,0,1,0,1,1,0,0,1,4,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2.442217,15,1,0,1,1,0,0,1,3,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1.319935,0,1,1,1,1,0,0,0,3,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.904917,0,1,0,0,1,0,0,1,3,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.201134,0,1,1,1,0,0,0,1,3,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2.458303,0,1,1,1,1,0,0,1,3,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.612892,0,1,1,1,1,1,0,1,3,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.443921,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
